page,strip,panel,panel_area,text_area
0,0,0,49413,9024
0,0,1,25340,2124
0,0,2,25380,3114
0,1,0,25098,2828
0,1,1,24208,3909
0,1,2,21417,640
0,1,3,24464,2482
0,2,0,24534,3368
0,2,1,24186,3321
0,2,2,22968,3417
0,2,3,24534,4753
1,0,0,25060,3886
1,0,1,24165,3622
1,0,2,24564,2242
1,0,3,24742,1612
1,1,0,25200,1858
1,1,1,23940,3365
1,1,2,24840,1072
1,1,3,25060,2956
1,2,0,25276,772
1,2,1,48594,1546
1,2,2,24640,3610
2,0,0,60882,23485
2,0,1,20016,442
2,0,2,19182,2645
2,0,3,18906,3258
2,0,4,19728,5570
2,0,5,20148,2978
2,0,6,19182,4296
2,0,7,20016,4040
2,0,8,20155,6003
2,0,9,19182,6397
3,0,0,24920,2341
3,0,1,24523,982
3,0,2,24165,4690
3,0,3,25418,2729
3,1,0,24780,3987
3,1,1,23895,3331
3,1,2,24112,3638
3,1,3,24112,1926
3,2,0,24603,4077
3,2,1,24426,5324
3,2,2,23364,0
3,2,3,24603,4090
4,0,0,25380,4964
4,0,1,27180,4152
4,0,2,20996,3854
4,0,3,25200,1542
4,1,0,24523,2502
4,1,1,24208,7304
4,1,2,24564,1745
4,1,3,24742,4368
4,2,0,24992,1436
4,2,1,23936,2548
4,2,2,23800,2584
4,2,3,24500,978
5,0,0,64998,17028
5,0,1,15732,5607
5,0,2,19738,4289
5,0,3,19182,3055
5,0,4,20016,7374
5,0,5,19182,2560
5,0,6,19182,4467
5,0,7,19458,5287
5,0,8,18632,8313
5,0,9,19728,3189
6,0,0,24920,2297
6,0,1,48238,8092
6,0,2,25098,7668
6,1,0,24523,2607
6,1,1,23449,3084
6,1,2,24881,5009
6,1,3,24742,2216
6,2,0,24464,1603
6,2,1,22880,7154
6,2,2,23800,5407
6,2,3,24500,1790
7,0,0,24660,3757
7,0,1,23940,3809
7,0,2,25200,4619
7,0,3,25060,2939
7,0,4,24344,3516
7,1,0,21894,5105
7,1,1,24386,0
7,1,2,24386,4006
7,1,3,24603,3189
7,2,0,48144,9266
7,2,1,24603,3337
7,2,2,24640,0
8,0,0,62322,13860
8,0,1,20586,4970
8,0,2,20300,1936
8,0,3,19880,5072
8,0,4,19460,5085
8,0,5,20155,2014
8,0,6,19865,2786
8,0,7,19180,1964
8,0,8,18904,432
8,0,9,19720,6350
9,0,0,25239,3955
9,0,1,24660,5958
9,0,2,24660,6616
9,0,3,25200,3994
9,1,0,24881,4912
9,1,1,48867,8216
9,1,2,24920,1481
9,2,0,24850,2099
9,2,1,19712,4463
9,2,2,24150,2650
9,2,3,24500,3635
10,0,0,24300,2343
10,0,1,23040,2559
10,0,2,25200,1605
10,0,3,25418,2914
10,1,0,25239,424
10,1,1,48688,5817
10,1,2,24881,4723
10,2,0,47696,1962
10,2,1,24150,3939
10,2,2,24500,660
11,0,0,40710,15123
11,0,1,40296,2600
11,0,2,19454,5047
11,0,3,19728,3186
11,0,4,19043,4684
11,0,5,19728,4374
11,0,6,20020,6066
11,0,7,20300,4875
11,0,8,19599,4307
11,0,9,20304,4577
12,0,0,25098,4419
12,0,1,24030,4280
12,0,2,24030,2298
12,0,3,25098,2442
12,1,0,25239,4242
12,1,1,24523,4019
12,1,2,24523,4499
12,1,3,24702,4892
12,2,0,24640,3172
12,2,1,24112,3471
12,2,2,23760,4181
12,2,3,24640,1439
13,0,0,24881,1169
13,0,1,24344,1090
13,0,2,24344,4333
13,0,3,25239,1224
13,1,0,24780,2428
13,1,1,24072,0
13,1,2,49808,3364
13,2,0,24640,3163
13,2,1,47872,5313
13,2,2,25168,5320
14,0,0,61740,17273
14,0,1,20440,2710
14,0,2,40572,6552
14,0,3,19182,3739
14,0,4,20286,1974
14,0,5,20286,3655
14,0,6,30084,3984
14,0,7,29256,1696
15,0,0,25098,3313
15,0,1,48867,12129
15,0,2,24881,4868
15,1,0,25060,2425
15,1,1,24523,1389
15,1,2,49941,4688
15,2,0,27475,5309
15,2,1,19075,2596
15,2,2,24150,3607
15,2,3,24186,4212
16,0,0,24881,3167
16,0,1,24344,2526
16,0,2,24208,1088
16,0,3,24742,3789
16,1,0,24300,0
16,1,1,24881,3380
